Nome;Classe;Codgio;TipodeAtivo;PaisSede;Status;SetorEconomatica;SetorNAICS
Celg;PNB;CGOS6;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Grazziotin;ON;CGRA3;Acao;BR;ativo;Comercio;Loja de roupas
Grazziotin;PN;CGRA4;Acao;BR;ativo;Comercio;Loja de roupas
Chapeco;ON;CHAP3;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
Chapeco;PN;CHAP4;Acao;BR;cancelado;Alimentos e Beb;Abatedouros
Cica;PN;CIC4;Acao;BR;cancelado;Alimentos e Beb;Industria de laticinios
Cielo;ON;CIEL3;Acao;BR;ativo;Software e Dados;Servicos de processamento de dados
Cacique;ON;CIQU3;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Cacique;PN;CIQU4;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Clarion;ON;CLAN3;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Clarion;PN;CLAN4;Acao;BR;ativo;Alimentos e Beb;Moinho de graos
Coldex;PN;CLDX4;Acao;BR;cancelado;Maquinas Indust;Industria de maquinas agricolas, de construcao e mineracao
Celesc;ON;CLSC3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celesc;PN;CLSC4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Celesc;PNA;CLSC5;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Caemi;ON;CMET3;Acao;BR;cancelado;Mineracao;Mineracao de metais
Caemi;PN;CMET4;Acao;BR;cancelado;Mineracao;Mineracao de metais
Cemat;ON;CMGR3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cemat;PN;CMGR4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cemig;ON;CMIG3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cemig;PN;CMIG4;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Confab;ON;CNFB3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Confab;PN;CNFB4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Const Beter;ON;COBE3B;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Const Beter;PNA;COBE5B;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Const Beter;PNB;COBE6B;Acao;BR;ativo;Construcao;Outras construcoes pesadas
Coelce;ON;COCE3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Coelce;PNA;COCE5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Coelce;PNB;COCE6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Copas;PN;COPA4;Acao;BR;cancelado;Quimica;Industria de fertilizantes e pesticidas
Trikem;PN;CPCA4;Acao;BR;cancelado;Quimica;Industria de fibras e borracha sinteticas, resinas e filamentos
CPFL Energia;ON;CPFE3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
CPFL Geracao;ON;CPFG3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
CPFL Geracao;PN;CPFG4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Ferro Ligas;PN;CPFL4;Acao;BR;cancelado;Siderur & Metalur;Fundicao
CPFL Piratininga;ON;CPFP3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
CPFL Piratininga;PN;CPFP4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Copel;ON;CPLE3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Copel;PNA;CPLE5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Copel;PNB;CPLE6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Company;ON;CPNY3;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
CPFL Renovav;ON;CPRE3;Acao;BR;ativo;Energia Eletrica;Empresa de eletricidade, gas e agua
Copesul;ON;CPSL3;Acao;BR;cancelado;Quimica;Industria quimica basica
Capitalpart;ON;CPTP3B;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Caraiba Met;PNE;CRBM11;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
Caraiba Met;ON;CRBM3;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
Caraiba Met;PNA;CRBM5;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
Caraiba Met;PNC;CRBM7;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
Caraiba Met;PND;CRBM8;Acao;BR;cancelado;Siderur & Metalur;Outras industrias de produtos de metal
Cr2;ON;CRDE3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Cremer;ON;CREM3;Acao;BR;ativo;Textil;Outras industrias de tecidos
Cremer (Antiga);PN;CREM4-old;Acao;BR;cancelado;Textil;Tecelagens
Crt Ciargtelec;PNA;CRGT5;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Conc Rio Ter;ON;CRTE3B;Acao;BR;cancelado;Transporte Servic;Atividades auxiliares ao transporte rodoviario
Conc Rio Ter;PNA;CRTE5B;Acao;BR;cancelado;Transporte Servic;Atividades auxiliares ao transporte rodoviario
Crt Celular;ON;CRTP3;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Crt Celular;PNA;CRTP5;Acao;BR;cancelado;Telecomunicacoes;Telecomunicacoes
Cosan;ON;CSAN3;Acao;BR;ativo;Alimentos e Beb;Industria de acucar e produtos de confeitaria
Sid Nacional;ON;CSNA3;Acao;BR;ativo;Siderur & Metalur;Transformacao de aco em produtos de aco
Cosipa;ON;CSPC3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Cosipa;PN;CSPC4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Cosern;ON;CSRN3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cosern;PNA;CSRN5;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Cosern;PNB;CSRN6;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Sid Tubarao;ON;CSTB3;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Sid Tubarao;PN;CSTB4;Acao;BR;cancelado;Siderur & Metalur;Transformacao de aco em produtos de aco
Karsten;ON;CTKA3;Acao;BR;ativo;Textil;Industria de roupas de tecido
Karsten;PN;CTKA4;Acao;BR;ativo;Textil;Industria de roupas de tecido
Cent Acu;ON;CTLG3;Acao;BR;cancelado;Mineracao;Atividades auxiliares à mineracao
Continental;PN;CTLU4;Acao;BR;cancelado;Eletroeletronicos;Industria de eletrodomesticos
Cent Min-Rio;ON;CTMI3;Acao;BR;cancelado;Mineracao;Mineracao de metais
Coteminas;ON;CTNM3;Acao;BR;ativo;Textil;Industria de roupas de tecido
Coteminas;PN;CTNM4;Acao;BR;ativo;Textil;Industria de roupas de tecido
Marambaia;ON;CTPC3;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Marambaia;PN;CTPC4;Acao;BR;cancelado;Alimentos e Beb;Industria de bebidas
Santanense;ON;CTSA3;Acao;BR;ativo;Textil;Tecelagens
Santanense;PN;CTSA4;Acao;BR;ativo;Textil;Tecelagens
Santanense;PND;CTSA8;Acao;BR;ativo;Textil;Tecelagens
Cvc Brasil;ON;CVCB3;Acao;BR;ativo;Transporte Servic;Transporte turistico
Cyrela Realt;ON;CYRE3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Cyrela Realt;PN;CYRE4;Acao;BR;cancelado;Construcao;Construcao de edificios residenciais
Czarina;PN;CZAR4;Acao;BR;cancelado;Textil;Industria de calcados
DHB;ON;DHBI3;Acao;BR;ativo;Veiculos e pecas;Industria de autopecas
DHB;PN;DHBI4;Acao;BR;ativo;Veiculos e pecas;Industria de autopecas
Direcional;ON;DIRR3;Acao;BR;ativo;Construcao;Construcao de edificios residenciais
Dinamica Ene;ON;DNEN3B;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Dohler;ON;DOHL3;Acao;BR;ativo;Textil;Industria de roupas de tecido
Dohler;PN;DOHL4;Acao;BR;ativo;Textil;Industria de roupas de tecido
Domus Populi;ON;DOMO3;Acao;BR;cancelado;Minerais nao Met;Industria de cimento e produtos de concreto
Ipiranga Dis;ON;DPPI3;Acao;BR;cancelado;Petroleo e Gas;Posto de gasolina
Ipiranga Dis;PN;DPPI4;Acao;BR;cancelado;Petroleo e Gas;Posto de gasolina
RaiaDrogasil;PNE;DROG11;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
RaiaDrogasil;PNF;DROG12;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
RaiaDrogasil;PNG;DROG13;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
RaiaDrogasil;PNH;DROG14;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
RaiaDrogasil;PNA;DROG5;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
RaiaDrogasil;PNB;DROG6;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
RaiaDrogasil;PNC;DROG7;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
RaiaDrogasil;PND;DROG8;Acao;BR;cancelado;Comercio;Loja de artigos para saude e cuidados pessoais
Datasul;ON;DSUL3;Acao;BR;cancelado;Software e Dados;Servicos de processamento de dados
Met Duque;ON;DUQE3;Acao;BR;ativo;Siderur & Metalur;Industria de molas e produtos de arame
Met Duque;PN;DUQE4;Acao;BR;ativo;Siderur & Metalur;Industria de molas e produtos de arame
Desenvix;ON;DVIX3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Aco Altona;ON;EALT3;Acao;BR;ativo;Siderur & Metalur;Transformacao de aco em produtos de aco
Aco Altona;PN;EALT4;Acao;BR;ativo;Siderur & Metalur;Transformacao de aco em produtos de aco
Embraco;ON;EBCO3;Acao;BR;cancelado;Maquinas Indust;Industria de equipamentos de refrigeracao
Embraco;PN;EBCO4;Acao;BR;cancelado;Maquinas Indust;Industria de equipamentos de refrigeracao
Bandeirante Energ;ON;EBEN3;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Bandeirante Energ;PN;EBEN4;Acao;BR;cancelado;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
Embratel Part;ON;EBTP3;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
Embratel Part;PN;EBTP4;Acao;BR;ativo;Telecomunicacoes;Telecomunicacoes
Ecisa;ON;ECIS3;Acao;BR;cancelado;Construcao;Construcao de edificios nao residenciais
Ecisa;PN;ECIS4;Acao;BR;cancelado;Construcao;Construcao de edificios nao residenciais
Ecorodovias;ON;ECOR3;Acao;BR;ativo;Transporte Servic;Atividades auxiliares ao transporte
Encorpar;ON;ECPR3;Acao;BR;ativo;Textil;Industria de fios
Encorpar;PN;ECPR4;Acao;BR;ativo;Textil;Industria de fios
Edn;PNA;EDNE5;Acao;BR;cancelado;Quimica;Industria quimica basica
Ceee-Gt;ON;EEEL3;Acao;BR;ativo;Energia Eletrica;Geracao, transmissao e distribuicao de energia eletrica
